cmd,runnable_stage,next_stage,desc,category,need_num,need_surface,need_bridge,is_status,is_control
lingual of,ToothSelect,CellSelect,"Command function: Select the lingual cell of tooth #N.  This command selects #SURFACE_DIRECTION.
Command Usage: `lingual of #N`",cell selection,TRUE,FALSE,FALSE,FALSE,FALSE
palatal of,ToothSelect,CellSelect,"Command function: Select the palatal cell of tooth #N.  This command selects #SURFACE_DIRECTION.
Command Usage: `palatal of #N`",cell selection,TRUE,FALSE,FALSE,FALSE,FALSE
mesial,ToothSelect,CellSelect,"Command function: Select cell at mesial of current tooth.  This command selects #SURFACE_DIRECTION.
Command Usage: `number #N, mesial`",cell selection,TRUE,FALSE,FALSE,FALSE,FALSE
middle,ToothSelect,CellSelect,"Command function: Select cell at middle of current tooth. This command selects #SURFACE_DIRECTION.
Command Usage: `number #N, middle`",cell selection,TRUE,FALSE,FALSE,FALSE,FALSE
distal,ToothSelect,CellSelect,"Command function: Select cell at distal of current tooth.  This command selects #SURFACE_THRID.
Command Usage: `number #N, distal`",cell selection,TRUE,FALSE,FALSE,FALSE,FALSE
buccal,ToothSelect,CellSelect,"Command function: Select cell at buccal of current tooth.  This command selects #SURFACE_DIRECTION.
Command Usage: `number #N, buccal`",cell selection,TRUE,FALSE,FALSE,FALSE,FALSE
lingual,ToothSelect,CellSelect,"Command function: Select cell at lingual of current tooth. This command selects #SURFACE_DIRECTION.
Command Usage: `number #N, lingual`",cell selection,TRUE,FALSE,FALSE,FALSE,FALSE
palatal,ToothSelect,CellSelect,"Command function: Select cell at palatal of current tooth. This command selects #SURFACE_DIRECTION.
Command Usage: `number #N, palatal`",cell selection,TRUE,FALSE,FALSE,FALSE,FALSE
permanent,ToothSelect,Start,"Command function: Set selected tooth status to permanent
Command Usage: `number #N, permanent`",tooth selection,TRUE,FALSE,FALSE,FALSE,FALSE
missing,ToothSelect,Start,"Command function: Set selected tooth status to missing
Command Usage: `number #N, missing`",tooth selection,TRUE,FALSE,FALSE,FALSE,FALSE
root rest,ToothSelect,Start,"Command function: Set selected tooth status to root remnant
Command Usage: `number #N, root rest`",tooth selection,TRUE,FALSE,FALSE,FALSE,FALSE
impacted,ToothSelect,Start,"Command function: Set selected tooth status to impacted
Command Usage: `number #N, impacted`",tooth selection,TRUE,FALSE,FALSE,FALSE,FALSE
implant,ToothSelect,Start,"Command function: Set selected tooth status to implant
Command Usage: `number #N,implant`",tooth selection,TRUE,FALSE,FALSE,FALSE,FALSE
fixture,ToothSelect,Start,"Command function: Set selected tooth status to fixture
Command Usage: `number #N, fixture`",tooth selection,TRUE,FALSE,FALSE,FALSE,FALSE
crown,ToothSelect,Start,"Command function: Set selected tooth status to crown
Command Usage: `number #N, crown`",tooth selection,TRUE,FALSE,FALSE,FALSE,FALSE
remove bridge,ToothSelect,Start,"Command function: Remove bridge status from selected tooth
Command Usage: `number #N, remove bridge`",tooth selection,TRUE,FALSE,FALSE,FALSE,FALSE
bridge,ToothSelect,Start,"Command function: Set selected tooth status to bridge
Command Usage: `number #N, number#N, bridge`. `number #N, #N, #N, bridge`",tooth selection,TRUE,FALSE,FALSE,FALSE,FALSE
pontic,ToothSelect,Start,"Command function: Set selected tooth status to pontic
Command Usage: `number #N, pontic`",tooth selection,TRUE,FALSE,TRUE,FALSE,FALSE
primary teeth,ToothSelect,Start,"Command function: Set selected tooth status to primary tooth
Command Usage: `number #N, primary teeth`",tooth selection,TRUE,FALSE,FALSE,FALSE,FALSE
deselect,ToothSelect,ToothSelect,"Command function: Deselect current tooth
Command Usage: `deselect`",tooth selection,FALSE,FALSE,FALSE,FALSE,TRUE
menu,ToothSelect,ToothSelect,"Command function: Open the right-click menu for tooth status values
Command Usage: `menu`",tooth selection,FALSE,FALSE,FALSE,FALSE,TRUE
