input,label,initial_nl,numbering_system,command_type,complexity,tooth_numbers,tooth_count,command_count,has_surface,has_numerical_value,category,model_name,generation_method,refinement_model,refinement_applied,number_validation
"All numbers are mostly 2 3 2 or 3 2 2 except for a few: number 15 is 5 7 7, number 30 is 5 7 7, and number 32 is 5 7 7 in the first chart","number 1, probing, 2 3 2; number 2, pocket depth, 2 3 2; number 3, probing, 2 3 2; number 4, probing, 2 3 2; number 5, probing, 2 3 2; number 6, pocket depth, 2 3 2; number 7, pocket depth, 2 3 2; number 8, probing, 2 3 2; number 9, pocket depth, 2 3 2; number 10, probing, 2 3 2; number 11, pocket depth, 2 3 2; number 12, probing, 2 3 2; number 13, probing, 2 3 2; number 14, probing, 2 3 2; number 15, probing, 5 7 7; number 16, probing, 2 3 2; number 17, pocket depth, 2 3 2; number 18, pocket depth, 2 3 2; number 19, probing, 2 3 2; number 20, pocket depth, 2 3 2; number 21, pocket depth, 2 3 2; number 22, pocket depth, 2 3 2; number 23, pocket depth, 2 3 2; number 24, pocket depth, 2 3 2; number 25, probing, 2 3 2; number 26, pocket depth, 2 3 2; number 27, probing, 2 3 2; number 28, probing, 2 3 2; number 29, probing, 2 3 2; number 30, pocket depth, 5 7 7; number 31, probing, 2 3 2; number 32, probing, 5 7 7","number 1 probing 2 3 2, number 2 pocket depth 2 3 2, number 3 probing 2 3 2, number 4 probing 2 3 2, number 5 probing 2 3 2, number 6 pocket depth 2 3 2, number 7 pocket depth 2 3 2, number 8 probing 2 3 2, number 9 pocket depth 2 3 2, number 10 probing 2 3 2, number 11 pocket depth 2 3 2, number 12 probing 2 3 2, number 13 probing 2 3 2, number 14 probing 2 3 2, number 15 probing 5 7 7, number 16 probing 2 3 2, number 17 pocket depth 2 3 2, number 18 pocket depth 2 3 2, number 19 probing 2 3 2, number 20 pocket depth 2 3 2, number 21 pocket depth 2 3 2, number 22 pocket depth 2 3 2, number 23 pocket depth 2 3 2, number 24 pocket depth 2 3 2, number 25 probing 2 3 2, number 26 pocket depth 2 3 2, number 27 probing 2 3 2, number 28 probing 2 3 2, number 29 probing 2 3 2, number 30 pocket depth 5 7 7, number 31 probing 2 3 2, number 32 probing 5 7 7",UNS,multiple,high,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",32,32,false,true,probing,moonshotai/kimi-k2-instruct-0905,openrouter_llm,meta-llama/llama-4-maverick-17b-128e-instruct,true,simple_check
"Then, we have a 13, 15 fixture, 44, 46 pontic, 11, 12 bridge, 22, 26 bridge, 33, 37 bridge, and a 42, 46 implant.","number 13, number 15, fixture; number 44, number 46, pontic; number 11, 12, bridge; number 22, number 26, bridge; number 33, number 37, bridge; number 42, number 46, implant","number 13, number 15 fixture, number 44, number 46 pontic, number 11, 12 bridge, number 22, number 26 bridge, number 33, number 37 bridge, number 42, number 46 implant",FDI,multiple,high,"13, 15, 44, 46, 11, 12, 22, 26, 33, 37, 42, 46",11,6,false,true,restoration,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,llama3.1-8b,true,simple_check
"Tooth 5 shows a pocket depth of 3,3,3; then tooth 6 is 3,2,2; tooth 7 matches that; jump to tooth 8 lingual, 3,3,3; tooth 9 reads 4,4,4; tooth 10 is 3,3,2; all of teeth 11 and 12 are 3,3,3; tooth 13 buccal, 3,3,3; then tooth 14, 4,4,4; tooth 15, 3,3,3; tooth 16, 3,2,2; tooth 17, 2,2,3; tooth 18, 3,3,3; tooth 19, 3,3,3; tooth 20 buccal, 3,3,3; tooth 21, 5,5,4; and finally tooth 22 lingual, 2,3,3.","number 5, pocket depth, 3 3 3; number 6, probing, 3 2 2; number 7, probing, 3 2 2; number 8, lingual, pocket depth, 3 3 3; number 9, probing, 4 4 4; number 10, pocket depth, 3 3 2; number 11, probing, 3 3 3; number 12, probing, 3 3 3; number 13, buccal, pocket depth, 3 3 3; number 14, pocket depth, 4 4 4; number 15, probing, 3 3 3; number 16, pocket depth, 3 2 2; number 17, probing, 2 2 3; number 18, probing, 3 3 3; number 19, pocket depth, 3 3 3; number 20, buccal, pocket depth, 3 3 3; number 21, pocket depth, 5 5 4; number 22, lingual, pocket depth, 2 3 3","number 5 pocket depth 3 3 3, number 6 probing 3 2 2, number 7 probing 3 2 2, number 8 lingual pocket depth 3 3 3, number 9 probing 4 4 4, number 10 pocket depth 3 3 2, number 11 probing 3 3 3, number 12 probing 3 3 3, number 13 buccal pocket depth 3 3 3, number 14 pocket depth 4 4 4, number 15 probing 3 3 3, number 16 pocket depth 3 2 2, number 17 probing 2 2 3, number 18 probing 3 3 3, number 19 pocket depth 3 3 3, number 20 buccal pocket depth 3 3 3, number 21 pocket depth 5 5 4, number 22 lingual pocket depth 2 3 3",UNS,multiple,high,"5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22",18,18,true,true,probing,moonshotai/kimi-k2-instruct,openrouter_llm,openai/gpt-oss-120b,true,simple_check
Need to keep all numbers. Make sure the output is in a different format than the input. Each refined utterance separated by ""","number 31, probing, 4 4 5; number 32, lingual, pocket depth, 3 2 3; number 33, probing, 2 3 3; number 34, pocket depth, 3 3 3; number 35, probing, 3 3 3; number 36, lingual, probing, 3 3 3; number 37, probing, 3 3 3; number 38, buccal, probing, 3 3 2; number 39, pocket depth, 3 3 3; number 40, lingual, probing, 3 3 3; number 41, pocket depth, 2 2 3; number 42, pocket depth, 3 3 3; number 43, probing, 3 3 3; number 44, pocket depth, 2 2 3; number 45, lingual, pocket depth, 3 3 3; number 46, probing, 3 2 3; number 47, probing, 2 2 2; number 48, probing, 3 2 3; number 49, pocket depth, 3 3 3; number 50, buccal, probing, 2 3 2","number 31 probing 4 4 5, number 32 lingual pocket depth 3 2 3, number 33 probing 2 3 3, number 34 pocket depth 3 3 3, number 35 probing 3 3 3, number 36 lingual probing 3 3 3, number 37 probing 3 3 3, number 38 buccal probing 3 3 2, number 39 pocket depth 3 3 3, number 40 lingual probing 3 3 3, number 41 pocket depth 2 2 3, number 42 pocket depth 3 3 3, number 43 probing 3 3 3, number 44 pocket depth 2 2 3, number 45 lingual pocket depth 3 3 3, number 46 probing 3 2 3, number 47 probing 2 2 2, number 48 probing 3 2 3, number 49 pocket depth 3 3 3, number 50 buccal probing 2 3 2",FDI,multiple,high,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50",20,20,true,true,probing,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,qwen/qwen3-32b,true,simple_check
"Tooth 17 shows buccal mesial, middle and distal bleeding 1, and lingual mesial, middle and distal also bleeding 1; then tooth 20 has buccal mesial, middle and distal suppuration 1 and the same on the lingual side; tooth 21 presents buccal and lingual mesial, middle and distal bleeding 1; tooth 22 shows buccal and lingual mesial, middle and distal bleeding 1 and, except for the lingual, suppuration 1 at all sites; tooth 23 has buccal and lingual mesial, middle and distal suppuration 1; tooth 24 displays buccal and lingual mesial, middle and distal bleeding 1 and is impacted; tooth 25 is permanent; tooth 26 shows buccal and lingual mesial, middle and distal bleeding 1; tooth 27 shows buccal and lingual mesial, middle and distal bleeding 1 and is impacted; mobility: tooth 19 grade 2, teeth 23, 26, 27 grade 3; furcation: tooth 16 grade 2, tooth 21 grade 1, tooth 26 grade 0, tooth 27 grade 3","number 17, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 17, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 20, buccal, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 20, lingual, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 21, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 21, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 22, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 22, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 22, buccal, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 22, lingual, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 23, buccal, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 23, lingual, mesial, suppuration, 1, middle, suppuration, 1, distal, suppuration, 1; number 24, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 24, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 24, impacted; number 25, permanent; number 26, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 26, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 27, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 27, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 27, impacted; number 19, mobility, 2; number 23, mobility, 3; number 26, mobility, 3; number 27, mobility, 3; number 16, furcation, 2; number 21, furcation, 1; number 26, furcation, 0; number 27, furcation, 3","number 17 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 17 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 20 buccal mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 20 lingual mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 21 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 21 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 22 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 22 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 22 buccal mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 22 lingual mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 23 buccal mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 23 lingual mesial suppuration 1 middle suppuration 1 distal suppuration 1, number 24 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 24 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 24 impacted, number 25 permanent, number 26 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 26 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 27 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 27 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 27 impacted, number 19 mobility 2, number 23 mobility 3, number 26 mobility 3, number 27 mobility 3, number 16 furcation 2, number 21 furcation 1, number 26 furcation 0, number 27 furcation 3",UNS,multiple,high,"17, 17, 20, 20, 21, 21, 22, 22, 22, 22, 23, 23, 24, 24, 24, 25, 26, 26, 27, 27, 27, 19, 23, 26, 27, 16, 21, 26, 27",11,29,true,true,inflammation,llama-3.3-70b,openrouter_llm,openai/gpt-oss-120b,true,simple_check
"Tooth 6 5 mm all around; then tooth 7 3 mm pocket depth everywhere; tooth 8 3 mm all surfaces; jump to tooth 9 lingual 3 mm all; tooth 10 buccal 3 mm all; tooth 11 3 mm all; tooth 12 3 mm all; tooth 13 lingual 5 mm all; tooth 14 2 mm all; tooth 15 buccal 3, middle 3, distal 2 mm; tooth 16 buccal 3, middle 2, distal 2 mm; tooth 17 5, 4, 4 mm; tooth 18 3 mm all; tooth 19 3 mm all; tooth 20 buccal 3, middle 2, distal 3 mm; tooth 21 buccal 3 mm all.","number 6, probing, 5 5 5; number 7, pocket depth, 3 3 3; number 8, pocket depth, 3 3 3; number 9, lingual, pocket depth, 3 3 3; number 10, buccal, pocket depth, 3 3 3; number 11, probing, 3 3 3; number 12, probing, 3 3 3; number 13, lingual, probing, 5 5 5; number 14, probing, 2 2 2; number 15, pocket depth, 3 3 2; number 16, pocket depth, 3 2 2; number 17, probing, 5 4 4; number 18, probing, 3 3 3; number 19, probing, 3 3 3; number 20, pocket depth, 3 2 3; number 21, buccal, pocket depth, 3 3 3","number 6 probing 5 5 5, number 7 pocket depth 3 3 3, number 8 pocket depth 3 3 3, number 9 lingual pocket depth 3 3 3, number 10 buccal pocket depth 3 3 3, number 11 probing 3 3 3, number 12 probing 3 3 3, number 13 lingual probing 5 5 5, number 14 probing 2 2 2, number 15 pocket depth 3 3 2, number 16 pocket depth 3 2 2, number 17 probing 5 4 4, number 18 probing 3 3 3, number 19 probing 3 3 3, number 20 pocket depth 3 2 3, number 21 buccal pocket depth 3 3 3",UNS,multiple,high,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21",16,16,true,true,probing,llama-3.3-70b,openrouter_llm,openai/gpt-oss-120b,true,simple_check
"Starting with tooth number 25, we have buccal probing depths of 3, 4, 3, then moving on to 26, 27, 28, all with probing depths of 3, 4, 3, except for 29, which has depths of 2, 4, 2, and 30 has a pocket depth of 3, 4, 3, then 31 with probing depths of 3, 4, 3, and finally 32 with probing depths of 3, 3, 2","number 25, buccal, probing, 3 4 3; number 26, probing, 3 4 3; number 27, probing, 3 4 3; number 28, probing, 3 4 3; number 29, probing, 2 4 2; number 30, pocket depth, 3 4 3; number 31, probing, 3 4 3; number 32, probing, 3 3 2","number 25 buccal probing 3 4 3, number 26 probing 3 4 3, number 27 probing 3 4 3, number 28 probing 3 4 3, number 29 probing 2 4 2, number 30 pocket depth 3 4 3, number 31 probing 3 4 3, number 32 probing 3 3 2",UNS,multiple,high,"25, 26, 27, 28, 29, 30, 31, 32",8,8,true,true,probing,openai/gpt-oss-120b,openrouter_llm,llama-3.3-70b-versatile,true,simple_check
"Jump to the restorations, we have crowns on teeth 14 and 19, bridges on 30, 31, and 26, implants on 15, 17, 7, 8, and 9, and a pontic on 9","number 14, number 19, crown; number 30, 31, bridge; number 15, number 17, implant; number 26, number 31, bridge; number 7, 8, implant; number 9, pontic","number 14 crown, number 19 crown, number 30 bridge, number 31 bridge, number 15 implant, number 17 implant, number 26 bridge, number 7 implant, number 8 implant, number 9 pontic",UNS,multiple,high,"14, 19, 30, 31, 15, 17, 26, 31, 7, 8, 9",10,6,false,true,restoration,openai/gpt-oss-120b,openrouter_llm,llama-3.3-70b-versatile,true,simple_check
"We've got 22 and 25 crowned, then fixtures at 14 and 17, implants on 21 and 26, and 18's a pontic","number 22, number 25, crown; number 14, number 17, fixture; number 21, number 26, implant; number 18, pontic","number 22 crown, number 25 crown, number 14 fixture, number 17 fixture, number 21 implant, number 26 implant, number 18 pontic",FDI,multiple,high,"22, 25, 14, 17, 21, 26, 18",7,4,false,true,restoration,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,moonshotai/kimi-k2-instruct-0905,true,simple_check
"Okay, let's start with the upper left, number 2, we've got a pocket depth of 4, 5, 5, then number 3, it's 3, 3, 3, all pretty even, except number 4, we're seeing some variation, 5, 5, 4, jump to number 6, it's 3, 3, 3, then number 7, same thing, 3, 3, 3, buccal probing on number 9, 3, 3, 3, then number 10, pocket depth, 3, 3, 3, buccal probing on number 11, 2, 3, 2, then number 12, pocket depth, 3, 3, 3, buccal probing on number 13, 3, 3, 3, then number 14, pocket depth, 3, 3, 3, probing on number 15, 2, 2, 3, lingual probing on number 16, 3, 3, 3, then number 17, pocket depth, 5, 5, 5, probing on number 18, 3, 3, 3, probing on number 19, 5, 4, 5, probing on number 20, 3, 3, 3, then number 21, pocket depth, 4, 4, 5, probing on number 22, 3, 3, 3, buccal pocket depth on number 23, 3, 3, 3, probing on number 24, 3, 3, 3, now let's move to the upper right, number 4 to number 7 is a bridge, number 7 to number 12 is a pontic, number 25 to number 28 is a pontic, number 13 to number 16 is a crown, number 17 to number 20 is a pontic.","number 2, pocket depth, 4 5 5; number 3, pocket depth, 3 3 3; number 4, probing, 5 5 4; number 5, probing, 3 3 3; number 6, pocket depth, 3 3 3; number 7, pocket depth, 3 3 3; number 8, pocket depth, 2 2 3; number 9, buccal, probing, 3 3 3; number 10, pocket depth, 3 3 3; number 11, buccal, probing, 2 3 2; number 12, pocket depth, 3 3 3; number 13, buccal, probing, 3 3 3; number 14, pocket depth, 3 3 3; number 15, probing, 2 2 3; number 16, lingual, probing, 3 3 3; number 17, pocket depth, 5 5 5; number 18, probing, 3 3 3; number 19, probing, 5 4 5; number 20, probing, 3 3 3; number 21, pocket depth, 4 4 5; number 22, probing, 3 3 3; number 23, buccal, pocket depth, 3 3 3; number 24, probing, 3 3 3","number 2 pocket depth 4 5 5, number 3 pocket depth 3 3 3, number 4 probing 5 5 4, number 5 probing 3 3 3, number 6 pocket depth 3 3 3, number 7 pocket depth 3 3 3, number 8 pocket depth 2 2 3, number 9 buccal probing 3 3 3, number 10 pocket depth 3 3 3, number 11 buccal probing 2 3 2, number 12 pocket depth 3 3 3, number 13 buccal probing 3 3 3, number 14 pocket depth 3 3 3, number 15 probing 2 2 3, number 16 lingual probing 3 3 3, number 17 pocket depth 5 5 5, number 18 probing 3 3 3, number 19 probing 5 4 5, number 20 probing 3 3 3, number 21 pocket depth 4 4 5, number 22 probing 3 3 3, number 23 buccal pocket depth 3 3 3, number 24 probing 3 3 3",UNS,multiple,high,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",23,23,true,true,probing,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,llama-3.1-8b-instant,true,simple_check
"Number six, probing three three three; then number seven, probing three three three; jump to number eight, buccal probing two three three; number nine, pocket depth two three two; number ten, pocket depth three three three; number eleven, lingual probing three three three; number twelve, pocket depth three three three; number thirteen, pocket depth three three three; number fourteen, pocket depth five five four; number fifteen, lingual pocket depth three three three; number sixteen, buccal pocket depth two two three; number seventeen, lingual probing three three three; number eighteen, pocket depth three three three; number nineteen, lingual pocket depth three three three; number twenty, probing three three three; number twenty‑one, buccal pocket depth three three three; number twenty‑two, lingual pocket depth two three two; number twenty‑three, probing four four five; number twenty‑four, probing two two three; number twenty‑five, pocket depth three three three; number twenty‑six, probing three three three; and finally number twenty‑seven, buccal pocket depth five five four","number 6, probing, 3 3 3; number 7, probing, 3 3 3; number 8, buccal, probing, 2 3 3; number 9, pocket depth, 2 3 2; number 10, pocket depth, 3 3 3; number 11, lingual, probing, 3 3 3; number 12, pocket depth, 3 3 3; number 13, pocket depth, 3 3 3; number 14, pocket depth, 5 5 4; number 15, lingual, pocket depth, 3 3 3; number 16, buccal, pocket depth, 2 2 3; number 17, lingual, probing, 3 3 3; number 18, pocket depth, 3 3 3; number 19, lingual, pocket depth, 3 3 3; number 20, probing, 3 3 3; number 21, buccal, pocket depth, 3 3 3; number 22, lingual, pocket depth, 2 3 2; number 23, probing, 4 4 5; number 24, probing, 2 2 3; number 25, pocket depth, 3 3 3; number 26, probing, 3 3 3; number 27, buccal, pocket depth, 5 5 4","number 6 probing 3 3 3, number 7 probing 3 3 3, number 8 buccal probing 2 3 3, number 9 pocket depth 2 3 2, number 10 pocket depth 3 3 3, number 11 lingual probing 3 3 3, number 12 pocket depth 3 3 3, number 13 pocket depth 3 3 3, number 14 pocket depth 5 5 4, number 15 lingual pocket depth 3 3 3, number 16 buccal pocket depth 2 2 3, number 17 lingual probing 3 3 3, number 18 pocket depth 3 3 3, number 19 lingual pocket depth 3 3 3, number 20 probing 3 3 3, number 21 buccal pocket depth 3 3 3, number 22 lingual pocket depth 2 3 2, number 23 probing 4 4 5, number 24 probing 2 2 3, number 25 pocket depth 3 3 3, number 26 probing 3 3 3, number 27 buccal pocket depth 5 5 4",UNS,multiple,high,"6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",22,22,true,true,probing,gpt-oss-120b,openrouter_llm,openai/gpt-oss-120b,true,simple_check
"8 has 3 3 3, 9 lingual is 3 3 2, then 10 is 3 3 3, 11 lingual is 4 5 4, all except 12 are similar, 12, 13, and 14 are 3 3 3, 2 3 3, and 3 3 3 respectively, then jump to 15, 2 2 2, 16 is 3 3 3, 17 is also 3 3 3, then 18 and 19 are 3 3 3, 20 is a bit deeper, 4 5 5, 21 is 3 3 3, then 22 lingual is 3 3 2, 23 pocket depth is 5 4 4, 24, 25, and 26 are similar, 3 3 3, then 27 is also 3 3 3","number 8, probing, 3 3 3; number 9, lingual, probing, 3 3 2; number 10, pocket depth, 3 3 3; number 11, lingual, probing, 4 5 4; number 12, probing, 3 3 3; number 13, probing, 2 3 3; number 14, pocket depth, 3 3 3; number 15, pocket depth, 2 2 2; number 16, pocket depth, 3 3 3; number 17, pocket depth, 3 3 3; number 18, probing, 3 3 3; number 19, probing, 3 3 3; number 20, probing, 4 5 5; number 21, pocket depth, 3 3 3; number 22, lingual, probing, 3 3 2; number 23, pocket depth, 5 4 4; number 24, probing, 3 3 3; number 25, lingual, probing, 3 3 3; number 26, pocket depth, 3 3 3; number 27, probing, 3 3 3","number 8 probing 3 3 3, number 9 lingual probing 3 3 2, number 10 pocket depth 3 3 3, number 11 lingual probing 4 5 4, number 12 probing 3 3 3, number 13 probing 2 3 3, number 14 pocket depth 3 3 3, number 15 pocket depth 2 2 2, number 16 pocket depth 3 3 3, number 17 pocket depth 3 3 3, number 18 probing 3 3 3, number 19 probing 3 3 3, number 20 probing 4 5 5, number 21 pocket depth 3 3 3, number 22 lingual probing 3 3 2, number 23 pocket depth 5 4 4, number 24 probing 3 3 3, number 25 lingual probing 3 3 3, number 26 pocket depth 3 3 3, number 27 probing 3 3 3",UNS,multiple,high,"8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27",20,20,true,true,probing,moonshotai/kimi-k2-instruct-0905,openrouter_llm,meta-llama/llama-4-scout-17b-16e-instruct,true,simple_check
"Starting with tooth 1, probing depths 3,2,3; then tooth 2 same; tooth 3 same; tooth 4 same; tooth 5 pocket depth 3,2,3; tooth 6 probing 3,2,3; tooth 7 pocket depth 3,2,3; tooth 8 probing 3,2,3; tooth 9 probing 3,2,3; tooth 10 probing 3,2,3; tooth 11 buccal mesial, middle, distal bleeding each 1, and lingual mesial, middle, distal also 1; tooth 12 pocket depth 3,2,3; tooth 13 pocket depth 3,2,3; tooth 14 probing 3,2,3; tooth 15 probing 3,2,3; tooth 16 pocket depth 3,2,3; tooth 17 pocket depth 3,2,3; tooth 18 probing 3,2,3; tooth 19 pocket depth 3,2,3; tooth 20 probing 3,2,3; tooth 21 probing 3,2,3; tooth 22 probing 3,2,3; tooth 23 pocket depth 3,2,3; tooth 24 pocket depth 3,2,3; tooth 25 pocket depth 3,2,3; tooth 26 pocket depth 3,2,3; tooth 27 probing 3,2,3; tooth 28 pocket depth 3,2,3; tooth 29 probing 5,5,6; tooth 30 pocket depth 3,2,3; tooth 31 pocket depth 3,2,3; tooth 32 pocket depth 3,2,3","number 1, probing, 3 2 3; number 2, probing, 3 2 3; number 3, probing, 3 2 3; number 4, probing, 3 2 3; number 5, pocket depth, 3 2 3; number 6, probing, 3 2 3; number 7, pocket depth, 3 2 3; number 8, probing, 3 2 3; number 9, probing, 3 2 3; number 10, probing, 3 2 3; number 11, buccal, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 11, lingual, mesial, bleeding, 1, middle, bleeding, 1, distal, bleeding, 1; number 12, pocket depth, 3 2 3; number 13, pocket depth, 3 2 3; number 14, probing, 3 2 3; number 15, probing, 3 2 3; number 16, pocket depth, 3 2 3; number 17, pocket depth, 3 2 3; number 18, probing, 3 2 3; number 19, pocket depth, 3 2 3; number 20, probing, 3 2 3; number 21, probing, 3 2 3; number 22, probing, 3 2 3; number 23, pocket depth, 3 2 3; number 24, pocket depth, 3 2 3; number 25, pocket depth, 3 2 3; number 26, pocket depth, 3 2 3; number 27, probing, 3 2 3; number 28, pocket depth, 3 2 3; number 29, probing, 5 5 6; number 30, pocket depth, 3 2 3; number 31, pocket depth, 3 2 3; number 32, pocket depth, 3 2 3","number 1 probing 3 2 3, number 2 probing 3 2 3, number 3 probing 3 2 3, number 4 probing 3 2 3, number 5 pocket depth 3 2 3, number 6 probing 3 2 3, number 7 pocket depth 3 2 3, number 8 probing 3 2 3, number 9 probing 3 2 3, number 10 probing 3 2 3, number 11 buccal mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 11 lingual mesial bleeding 1 middle bleeding 1 distal bleeding 1, number 12 pocket depth 3 2 3, number 13 pocket depth 3 2 3, number 14 probing 3 2 3, number 15 probing 3 2 3, number 16 pocket depth 3 2 3, number 17 pocket depth 3 2 3, number 18 probing 3 2 3, number 19 pocket depth 3 2 3, number 20 probing 3 2 3, number 21 probing 3 2 3, number 22 probing 3 2 3, number 23 pocket depth 3 2 3, number 24 pocket depth 3 2 3, number 25 pocket depth 3 2 3, number 26 pocket depth 3 2 3, number 27 probing 3 2 3, number 28 pocket depth 3 2 3, number 29 probing 5 5 6, number 30 pocket depth 3 2 3, number 31 pocket depth 3 2 3, number 32 pocket depth 3 2 3",UNS,multiple,high,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",32,33,true,true,probing,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,gpt-oss-120b,true,simple_check
"Jump to tooth 11, pocket depth 3,3,2; then tooth 12 pocket depth 3,3,3; tooth 13 probing 4,5,5; tooth 14 pocket depth 3,2,3; tooth 15 pocket depth 2,3,3; buccal probing on tooth 16 3,3,3; lingual probing on tooth 17 4,5,5; tooth 18 pocket depth 4,5,5; tooth 19 pocket depth 3,3,3; probing on tooth 20 4,5,4; lingual probing on tooth 21 5,5,5; tooth 22 pocket depth 3,3,3; lingual probing on tooth 23 2,2,3; buccal pocket depth on tooth 24 3,3,3; lingual probing on tooth 25 2,2,2; buccal probing on tooth 26 4,5,5; tooth 27 pocket depth 5,5,4; probing on tooth 28 3,2,3; probing on tooth 29 3,3,3; pocket depth on tooth 30 3,3,3; pocket depth on tooth 31 3,3,3; buccal probing on tooth 32 3,3,3","number 11, pocket depth, 3 3 2; number 12, pocket depth, 3 3 3; number 13, probing, 4 5 5; number 14, pocket depth, 3 2 3; number 15, pocket depth, 2 3 3; number 16, buccal, probing, 3 3 3; number 17, lingual, probing, 4 5 5; number 18, pocket depth, 4 5 5; number 19, pocket depth, 3 3 3; number 20, probing, 4 5 4; number 21, lingual, probing, 5 5 5; number 22, pocket depth, 3 3 3; number 23, lingual, probing, 2 2 3; number 24, buccal, pocket depth, 3 3 3; number 25, lingual, probing, 2 2 2; number 26, buccal, probing, 4 5 5; number 27, pocket depth, 5 5 4; number 28, probing, 3 2 3; number 29, probing, 3 3 3; number 30, pocket depth, 3 3 3; number 31, pocket depth, 3 3 3; number 32, buccal, probing, 3 3 3","number 11 pocket depth 3 3 2, number 12 pocket depth 3 3 3, number 13 probing 4 5 5, number 14 pocket depth 3 2 3, number 15 pocket depth 2 3 3, number 16 buccal probing 3 3 3, number 17 lingual probing 4 5 5, number 18 pocket depth 4 5 5, number 19 pocket depth 3 3 3, number 20 probing 4 5 4, number 21 lingual probing 5 5 5, number 22 pocket depth 3 3 3, number 23 lingual probing 2 2 3, number 24 buccal pocket depth 3 3 3, number 25 lingual probing 2 2 2, number 26 buccal probing 4 5 5, number 27 pocket depth 5 5 4, number 28 probing 3 2 3, number 29 probing 3 3 3, number 30 pocket depth 3 3 3, number 31 pocket depth 3 3 3, number 32 buccal probing 3 3 3",UNS,multiple,high,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",22,22,true,true,probing,meta-llama/llama-4-maverick-17b-128e-instruct,openrouter_llm,gpt-oss-120b,true,simple_check
